🚀 Starte faire Chat-Baseline-Evaluierung...

Eintrag 1 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 90 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 91 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 92 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 93 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 94 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 95 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 96 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 97 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 98 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 99 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 100 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 101 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 102 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 103 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 104 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 105 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 106 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 107 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 108 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 109 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 110 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 111 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 112 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 113 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 114 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 115 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 116 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 117 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 118 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 119 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 120 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 121 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 122 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 123 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 124 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 125 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 126 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 127 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 128 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 129 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 130 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 131 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 132 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 133 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 134 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 135 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 136 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 137 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 138 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 139 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 140 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 141 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 142 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 143 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 144 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 145 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 146 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 147 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 148 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 149 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 150 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 151 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 152 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 153 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 154 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 155 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 156 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 157 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 158 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 159 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 160 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 161 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 162 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 163 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 164 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 165 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 166 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 167 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 168 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 169 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 170 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 171 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 172 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 173 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 174 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 175 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 176 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 177 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 178 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 179 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 180 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 181 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 182 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 183 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 184 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 185 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 186 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 187 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 188 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 189 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 190 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 191 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 192 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 193 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 194 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 195 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 196 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 197 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 198 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 199 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 200 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 201 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 202 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 203 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 204 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 205 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 206 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 207 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 208 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 209 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 210 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 211 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 212 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 213 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 214 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 215 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 216 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 217 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 218 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 219 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 220 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 221 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 222 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 223 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 224 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 225 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 226 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 227 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 228 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 229 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 230 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 231 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 232 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 233 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 234 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 235 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 236 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 237 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 238 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 239 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 240 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 241 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 242 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 243 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 244 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 245 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 246 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 247 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 248 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 249 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 250 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 251 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 252 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 253 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 254 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 255 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 256 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 257 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 258 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 259 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 260 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 261 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 262 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 263 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 264 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 265 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 266 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 267 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 268 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 269 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 270 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 271 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 272 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 273 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 274 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 275 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 276 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 277 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 278 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 279 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 280 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 281 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 282 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 283 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 284 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 285 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 286 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 287 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 288 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 289 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 290 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 291 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 292 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 293 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 294 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 295 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 296 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 297 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 298 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 299 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 300 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 301 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 302 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 303 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 304 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 305 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 306 | Erwartet: legitimate | Erkannt: fraud | Korrekt: False
Eintrag 307 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
Eintrag 308 | Erwartet: legitimate | Erkannt: legitimate | Korrekt: True
